,nickname,text,score,like,dislike,time,watch_movie
6742,lees****,네이버 평점주려고 로그인한건 처음이에요. 여자친구 눈물닦아주느라..ㅋㅋ,10,0,0,2011-02-14 11:21:00,0
6743,dltn****,윤소정선생님의... 저렇게 늙었으면 좋았을 텐데... 라는 말 너무 슬퍼서 울엇음..,10,0,0,2011-02-14 10:59:00,0
6744,486t****,"유료시사회봤습니다. 말이 필요없어요, 간만에 영화다운 영화 봤네요",10,0,0,2011-02-14 10:49:00,0
6745,blue****,어제 유료 시사회 봤는데~ 이런 감동적인 영화 처음이였다.100프로 대박이다 이영화~,10,0,0,2011-02-14 10:32:00,0
6746,gjwl****,정말감동적이에요,10,0,0,2011-02-14 04:52:00,0
6747,gjwl****,정말제밌어요,10,0,0,2011-02-14 04:51:00,0
6748,fore****,저렇게 사랑할수 있다면 그걸로 행복한거 아닌가. 오랜만의 눈물.,9,0,0,2011-02-14 01:40:00,0
6749,onld****,"연기파 배우들의 진짜 연기다.. 양산형 배우, 아이돌 저리가라~~!!!!!!",10,0,0,2011-02-14 01:23:00,0
6750,ljy7****,그냥 난 재밌게 봤는데 알바라는 놈들은 피해의식 쩔어사는구만 제발 그러지맙시다.,10,0,0,2011-02-14 00:26:00,0
6751,hyel****,상영관이 적어서 아쉬운 영화...........정말 좋은 영환데..ㅜㅜ,10,0,0,2011-02-14 00:21:00,0
6752,ssky****,17일 개봉이라고 하는데 우리 동네는 개봉 했더군요. 오늘 봤는데 폭풍눈물 ㅠㅠ.,9,0,0,2011-02-13 23:00:00,0
6753,tlsf****,"알바들 티나네 대놓고 1점... 폭풍 웃음,감동,그리고 부모님 생각까지 하게 하는 영화",10,0,0,2011-02-13 22:55:00,0
6754,oqka****,진짜 이건 말로는 설명못함.. 내인생의 넘버원 영화임.ㅜㅜ,10,0,0,2011-02-13 21:55:00,0
6755,codm****,너무나도 마음이 따뜻해지는 영화에요 비현실적이라 하더라도 보는 순간은 행복했어요,10,0,0,2011-02-13 20:57:00,0
6756,skym****,"감동적인 영화구요..저는 가족과 함께, 연인들과 같이 보면 좋은 영화일듯 강추용~",9,0,0,2011-02-13 20:13:00,0
6757,kang****,영화 보면서 처음으로 눈물 흘렸어요 정말 강동적이네요,10,0,0,2011-02-13 20:02:00,0
6758,zxcz****,밑에 OO아 개봉도안했어,10,0,0,2011-02-13 19:56:00,0
6759,vega****,비현실적이라고? 현실적인 영화를 원하는가? 현실은 우리 곁에 있다. 영화는 영화.,10,0,0,2011-02-13 19:37:00,0
6760,crom****,이거 왜일케 상영관이 별로 없는거야. 입소문 많이 나서 많은 사람들이 봤으면 좋겠네요 감동줄줄,10,0,0,2011-02-13 17:29:00,0
6761,lmwj****,방금 영화관에서 보고왔습니다. 너무 !감동감동감동! 이었어요♥,10,0,0,2011-02-13 16:36:00,0
6762,docu****,꼭봐야한당,10,0,0,2011-02-13 16:11:00,0
6763,naat****,어제 용산서 예매해서 봤습니다. 원작을 봤지만 마지막엔 또 울어버렸네요..,10,0,0,2011-02-13 15:40:00,0
6764,dzra****,원작의 감동이 잘 전달된것 같아요. ^^ 부모님께 효도해야겠어요 ㅠ,9,0,0,2011-02-13 15:26:00,0
6765,30ki****,제가보기엔 1점준사람들이 알바같습니다 이런영화가많이나왔으면좋겠습니다,10,0,0,2011-02-13 15:20:00,0
